X,Y,OBJECTID,FS_REGION,FOREST_NAM,DISTRICT_N,CN,FEAT_ID,name,SITE_TYPE,DEVELOPMEN,DEVELOPM_1,OPERATIONA,OWNERSHIP,IMPROVEMEN,TOTAL_CAPA,LATITUDE,LONGITUDE,FEE_CHARGE,SINGLE_UNI,DOUBLE_TRI,SMALL_GROU,LARGE_GROU,HOST_UNIT,RESERVABLE,SOURCE_COD,LAST_UPDAT,ADMIN_ORG,SECURITY_I,route_names,bicycle_distances(km),shortest_bicycle_distance(km)
469215.854002051055431,1498643.57020865753293,139,06,Mt Baker-Snoqualmie NF,White River RD,11258010357,48809,GOVERNMENT MEADOWS HORSE CAMP,HORSE CAMP,3-Moderate Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),28.00000000000,47.53800000000,-121.73780000000,No,6.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2011/02/03,060507,0605,"208(King County Metro),628(King County Metro),208(King County Metro),628(King County Metro),208(King County Metro),628(King County Metro),","7.774,7.774,7.661,7.661,7.668,7.668,",7.661
482390.594682566821575,1528646.631104743108153,141,06,Mt Baker-Snoqualmie NF,Skykomish RD,4124197010602,48620,CABLE DROP,BOATING SITE,3-Moderate Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),60.00000000000,47.81016600000,-121.57057300000,Yes,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2015/07/29,060506,0605,"270(Community Transit),271(Community Transit),277(Community Transit),270(Community Transit),271(Community Transit),277(Community Transit),270(Community Transit),271(Community Transit),277(Community Transit),","11.48,11.48,11.48,11.928,11.928,11.928,12.341,12.341,12.341,",11.48
495944.564190799370408,1595453.636499922722578,142,06,Mt Baker-Snoqualmie NF,Mt Baker RD,387852010602,48031,LOWER SANDY,CAMPING AREA,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),35.00000000000,48.41320000000,-121.40520000000,No,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2011/12/14,060501,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","19.929,20.279,20.334,",19.929
498798.23792109079659,1570643.845478625968099,149,06,Mt Baker-Snoqualmie NF,Darrington RD,387873010602,48236,NORTH MOUNTAIN LOOKOUT,LOOKOUT/CABIN,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),5.00000000000,48.19050000000,-121.36100000000,No,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2011/09/29,060502,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","24.491,24.546,24.896,",24.491
490784.615927405655384,1568985.728181041777134,150,06,Mt Baker-Snoqualmie NF,Darrington RD,11304010357,48225,CRYSTAL CREEK TRAILHEAD,TRAILHEAD,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),35.00000000000,48.17432000000,-121.46834000000,Yes,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2011/12/14,060502,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","14.126,14.181,14.138,",14.126
462419.723626064136624,1650749.831815645098686,154,06,Mt Baker-Snoqualmie NF,Mt Baker RD,4475216010602,48042,UPPER HORSESHOE KAYAK TRAIL,BOATING SITE,3-Moderate Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),25.00000000000,48.90450000000,-121.87520000000,No,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2015/07/29,060501,0605,"72X(Whatcom Transportation Authority),72X(Whatcom Transportation Authority),72X(Whatcom Transportation Authority),","26.048,25.674,25.882,",25.674
491713.574656115844846,1568643.029876474291086,160,06,Mt Baker-Snoqualmie NF,Darrington RD,5360010357,48201,WHITE CHUCK OVERLOOK,PICNIC SITE,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),22.00000000000,48.17139000000,-121.45577000000,No,3.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2014/09/18,060502,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","15.024,15.079,15.036,",15.024
482763.530487280339003,1529184.027179807424545,161,06,MT BAKER-SNOQUALMIE NF,SKYKOMISH RD,4582931010602,48625,INDEX TARGET RANGE,TARGET RANGE,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),PRIVATE-OTHER,0.00000000000,47.81506307000,-121.56573375000,No,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2016/01/11,060506,0605,"270(Community Transit),271(Community Transit),277(Community Transit),270(Community Transit),271(Community Transit),277(Community Transit),270(Community Transit),271(Community Transit),277(Community Transit),","11.917,11.917,11.917,12.365,12.365,12.365,12.778,12.778,12.778,",11.917
485078.618425820022821,1593907.946844898164272,162,06,Mt Baker-Snoqualmie NF,Mt Baker RD,3276644010602,48041,WHITE CREEK RIVER ACCESS,BOATING SITE,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),5.00000000000,48.39750000000,-121.55150000000,No,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2015/07/29,060501,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","18.576,18.588,18.643,",18.576
490314.839193351566792,1526854.746265085414052,172,06,Mt Baker-Snoqualmie NF,Skykomish RD,11196010357,48603,BARCLAY LAKE TRAILHEAD,TRAILHEAD,2-Some Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),75.00000000000,47.79540000000,-121.46434000000,Yes,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2014/09/30,060506,0605,"270(Community Transit),271(Community Transit),277(Community Transit),270(Community Transit),271(Community Transit),277(Community Transit),270(Community Transit),271(Community Transit),277(Community Transit),","26.581,26.581,26.581,27.029,27.029,27.029,27.442,27.442,27.442,",26.581
466464.846069395542145,1493302.032752150669694,179,06,Mt Baker-Snoqualmie NF,White River RD,11224010357,48418,NORTH BEND RANGER STATION,INFO SITE/FEE STATION,5-Significant Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),12.00000000000,47.48944444000,-121.77277780000,No,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2014/10/13,060505,0605,"208(King County Metro),628(King County Metro),208(King County Metro),628(King County Metro),208(King County Metro),628(King County Metro),","1.402,1.402,1.64,1.64,1.957,1.957,",1.402
481110.744851104915142,1578823.192847603932023,180,06,Mt Baker-Snoqualmie NF,Darrington RD,5364010357,31568,DARRINGTON RANGER STATION,INTERPRETIVE SITE (ADMIN),5-Significant Investment,EXISTING,OPEN,NATIONAL FOREST (FS),NATIONAL FOREST (FS),30.00000000000,48.26113000000,-121.60100000000,No,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2014/10/13,060502,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","0.806,0.817,0.872,",0.806
494861.596519481390715,1560770.769329028204083,182,06,Mt Baker-Snoqualmie NF,Darrington RD,387870010602,48233,THREE FINGERS LOOKOUT,LOOKOUT/CABIN,2-Some Investment,EXISTING,CLOSED,NATIONAL FOREST (FS),NATIONAL FOREST (FS),5.00000000000,48.10110000000,-121.41160000000,No,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,No,,2015/09/24,060502,0605,"230(Community Transit),230(Community Transit),230(Community Transit),","24.117,24.158,24.205,",24.117
