osm_id,name,latitude,longitude,source_trail_length (in meters),STATE,STATEFIPS,COUNTY,NATFOREST,route_names,walking_distances (in kilometers),ACCESS_TYP,PARK_NAME,PARK_URL,SUID_NMA,MNG_AG_ID,MNG_AGENCY,MNG_AG_LEV,MNG_AG_TYP,AGNCY_WEB,LAYER,ACRES,LABEL_NAME
13469143,Adrian Street,34.0857522003,-118.2837444,77.8416772138,,6,,,"10/48(Los Angeles County Metropolitan Transportation Authority),10/48(Los Angeles County Metropolitan Transportation Authority),10/48(Los Angeles County Metropolitan Transportation Authority),","0.482,0.477,0.563,",,,,,,,,,,,,
28899533,,34.0287278999,-118.2072176,51.7614318171,,6,,,"18(Los Angeles County Metropolitan Transportation Authority),18(Los Angeles County Metropolitan Transportation Authority),18(Los Angeles County Metropolitan Transportation Authority),","0.264,0.301,0.305,",,,,,,,,,,,,
28899536,,34.0278529998,-118.2070459,10.1522145149,,6,,,"18(Los Angeles County Metropolitan Transportation Authority),18(Los Angeles County Metropolitan Transportation Authority),","0.692,0.679,",,,,,,,,,,,,
30519597,,33.7985165998,-118.3554264,3676.768682,,6,,,"344(Los Angeles County Metropolitan Transportation Authority),","0.668,",,,,,,,,,,,,
31453862,,33.6817755996,-117.6650606,73.7533905647,,6,,,"177(Orange County Transportation Authority),82(Orange County Transportation Authority),177(Orange County Transportation Authority),82(Orange County Transportation Authority),177(Orange County Transportation Authority),82(Orange County Transportation Auth","0.351,0.351,0.248,0.248,0.456,0.456,",Open Access,Limestone Canyon and Whiting Ranch Wilderness Park,http://ocparks.com/parks/whiting,29271,312,"Orange, County of",County,County Agency,http://ocparks.com/,County,4969.385,Limestone Canyon and Whiting Ranch Wilderness Park
31549096,,34.2685788001,-118.3354633,262.136051622,,6,,,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","0.668,0.651,",,,,,,,,,,,,
31551570,,33.5835032001,-117.7070458,770.040070956,,6,,,"87(Orange County Transportation Authority),87(Orange County Transportation Authority),90(Orange County Transportation Authority),","0.077,0.1,0.155,",,,,,,,,,,,,
32335466,,33.5156042004,-117.6717979,458.058571612,,6,,,"91(Orange County Transportation Authority),91(Orange County Transportation Authority),91(Orange County Transportation Authority),","0.268,0.258,0.586,",,,,,,,,,,,,
32344981,San Fernando Mission Boulevard,34.2719236998,-118.5800246,1030.75681832,,6,,,"243/242(Los Angeles County Metropolitan Transportation Authority),243/242(Los Angeles County Metropolitan Transportation Authority),243/242(Los Angeles County Metropolitan Transportation Authority),","0.32,0.413,0.334,",,,,,,,,,,,,
32348390,San Fernando Mission Boulevard,34.2717852996,-118.5693485,1193.87717683,,6,,,"243/242(Los Angeles County Metropolitan Transportation Authority),243/242(Los Angeles County Metropolitan Transportation Authority),243/242(Los Angeles County Metropolitan Transportation Authority),","0.404,0.443,0.671,",,,,,,,,,,,,
32868629,,34.1742397996,-118.1744146,1213.18587753,,6,,,"52(Pasadena Transit),52(Pasadena Transit),52(Pasadena Transit),","0.512,0.687,0.489,",,,,,,,,,,,,
33411809,,34.1055805004,-118.2569755,129.313271542,,6,,,"96(Los Angeles County Metropolitan Transportation Authority),96(Los Angeles County Metropolitan Transportation Authority),603(Los Angeles County Metropolitan Transportation Authority),603(Los Angeles County Metropolitan Transportation Authority),","0.028,0.089,0.089,0.082,",,,,,,,,,,,,
35394347,,34.0359542997,-118.3260076,91.5695270831,,6,,,"DASH Midtown(Los Angeles Department of Transportation),35/38(Los Angeles County Metropolitan Transportation Authority),35/38(Los Angeles County Metropolitan Transportation Authority),","0.474,0.511,0.477,",,,,,,,,,,,,
35394422,,34.032966,-118.2753483,58.3264313804,,6,,,"603(Los Angeles County Metropolitan Transportation Authority),603(Los Angeles County Metropolitan Transportation Authority),81(Los Angeles County Metropolitan Transportation Authority),","0.493,0.51,0.525,",,,,,,,,,,,,
35394425,,34.0322561003,-118.2742591,25.5723485367,,6,,,"4(Los Angeles County Metropolitan Transportation Authority),81(Los Angeles County Metropolitan Transportation Authority),910/950(Los Angeles County Metropolitan Transportation Authority),603(Los Angeles County Metropolitan Transportation Authority),","0.276,0.277,0.277,0.252,",,,,,,,,,,,,
35394427,,34.0327955002,-118.2750268,97.8018093644,,6,,,"603(Los Angeles County Metropolitan Transportation Authority),603(Los Angeles County Metropolitan Transportation Authority),81(Los Angeles County Metropolitan Transportation Authority),","0.509,0.526,0.54,",,,,,,,,,,,,
35759906,San Clemente Beach Trail,33.4309375003,-117.6313495,736.329666862,,6,,,"1(Orange County Transportation Authority),91(Orange County Transportation Authority),1(Orange County Transportation Authority),91(Orange County Transportation Authority),","0.454,0.49,0.369,0.369,",,,,,,,,,,,,
35759907,,33.4225305002,-117.6225165,62.6699291414,,6,,,"Pacific Surfliner(Amtrak),Inland Emp.-Orange Co. Line(Metrolink),Orange County Line(Metrolink),","0.488,0.491,0.491,",,,,,,,,,,,,
35759908,,33.4231002998,-117.6231808,72.2006010655,,6,,,"Pacific Surfliner(Amtrak),Inland Emp.-Orange Co. Line(Metrolink),Orange County Line(Metrolink),","0.593,0.596,0.596,",,,,,,,,,,,,
35759909,,33.4230504999,-117.6227753,92.5033067824,,6,,,"Pacific Surfliner(Amtrak),Inland Emp.-Orange Co. Line(Metrolink),Orange County Line(Metrolink),","0.552,0.555,0.555,",,,,,,,,,,,,
35759910,,33.4233968998,-117.6234933,43.9906084594,,6,,,"Pacific Surfliner(Amtrak),","0.632,",,,,,,,,,,,,
36949979,,34.1343364002,-118.2881104,246.476453033,,6,,,"96(Los Angeles County Metropolitan Transportation Authority),","0.711,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
37266953,,34.2007405999,-118.2185934,415.335325283,,6,,,"Commuter Express 409(Los Angeles Department of Transportation),","0.685,",,,,,,,,,,,,
41208615,,33.7494696996,-117.953395,167.935809098,,6,,,"35(Orange County Transportation Authority),35(Orange County Transportation Authority),35(Orange County Transportation Authority),","0.787,0.71,0.608,",,,,,,,,,,,,
41208616,,33.7496368997,-117.9530853,44.5571699983,,6,,,"35(Orange County Transportation Authority),35(Orange County Transportation Authority),35(Orange County Transportation Authority),","0.778,0.739,0.563,",Open Access,Bowling Green Park,,16310,1378,"Westminster, City of",City,City Agency,http://www.westminster-ca.gov/depts/cs/parks_n_facilities/default.asp,City,3.228,Bowling Green Park
42117134,,33.7284187001,-118.3500516,10.7733891527,,6,,,"Orange(Palos Verdes Peninsula Transit Authority),","0.722,",Open Access,Founders Park,http://www.rpvca.gov,29410,1265,"Rancho Palos Verdes, City of",City,City Agency,http://palosverdes.com/rpv/recreationparks/index.cfm,City,3.516,Founders Park
42733757,,34.0402353001,-118.5598733,74.793496209,,6,,,"534(Los Angeles County Metropolitan Transportation Authority),534(Los Angeles County Metropolitan Transportation Authority),534(Los Angeles County Metropolitan Transportation Authority),","0.062,0.474,0.787,",,,,,,,,,,,,
43826849,Serrano Road,33.6725292002,-117.6537512,1568.98113022,,6,,,"206(Orange County Transportation Authority),82(Orange County Transportation Authority),82(Orange County Transportation Authority),206(Orange County Transportation Authority),82(Orange County Transportation Authority),","0.23,0.23,0.267,0.257,0.257,",,,,,,,,,,,,
43854212,Raptor Road,33.6743526997,-117.6492537,954.721737299,,6,,,"82(Orange County Transportation Authority),","0.671,",Open Access,Limestone Canyon and Whiting Ranch Wilderness Park,http://ocparks.com/parks/whiting,29271,312,"Orange, County of",County,County Agency,http://ocparks.com/,County,4969.385,Limestone Canyon and Whiting Ranch Wilderness Park
44639674,,34.0512545996,-118.5106787,463.604974853,,6,,,"2/302(Los Angeles County Metropolitan Transportation Authority),2/302(Los Angeles County Metropolitan Transportation Authority),2/302(Los Angeles County Metropolitan Transportation Authority),","0.043,0.138,0.659,",,,,,,,,,,,,
45003945,,33.5852634,-117.7121573,687.55421931,,6,,,"90(Orange County Transportation Authority),90(Orange County Transportation Authority),90(Orange County Transportation Authority),","0.367,0.417,0.705,",Open Access,Aliso and Wood Canyons Wilderness Park,http://ocparks.com/parks/aliso,8041,312,"Orange, County of",County,County Agency,http://ocparks.com/,County,3721.302,Aliso and Wood Canyons Wilderness Park
45004312,,33.5883134003,-117.7116496,54.5925572281,,6,,,"90(Orange County Transportation Authority),90(Orange County Transportation Authority),90(Orange County Transportation Authority),","0.132,0.236,0.318,",Open Access,Aliso and Wood Canyons Wilderness Park,http://ocparks.com/parks/aliso,8041,312,"Orange, County of",County,County Agency,http://ocparks.com/,County,3721.302,Aliso and Wood Canyons Wilderness Park
45355326,,34.1185467,-118.3005235,102.632217605,,6,,,"DASH Weekend Observatory Shuttle(Los Angeles Department of Transportation),","0.106,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
45355327,,34.1191608002,-118.300371,22.4810601936,,6,,,"DASH Weekend Observatory Shuttle(Los Angeles Department of Transportation),","0.025,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
45355328,,34.1189074001,-118.3005242,8.25506907116,,6,,,"DASH Weekend Observatory Shuttle(Los Angeles Department of Transportation),","0.066,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
45355329,,34.1189581002,-118.3003717,37.2154446397,,6,,,"DASH Weekend Observatory Shuttle(Los Angeles Department of Transportation),","0.049,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
45355330,,34.1189059,-118.3003018,7.99679700877,,6,,,"DASH Weekend Observatory Shuttle(Los Angeles Department of Transportation),","0.056,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
45355331,,34.1188489999,-118.3003699,33.4695308456,,6,,,"DASH Weekend Observatory Shuttle(Los Angeles Department of Transportation),","0.066,",Open Access,Griffith Park,http://www.laparks.org/dos/parks/facility/griffithPk.htm,5656,1188,"Los Angeles, City of",City,City Agency,http://lacity.org/,City,4067.215,Griffith Park
45755572,,33.8586497998,-118.39419,46.6375586624,,6,,,"232(Los Angeles County Metropolitan Transportation Authority),232(Los Angeles County Metropolitan Transportation Authority),232(Los Angeles County Metropolitan Transportation Authority),","0.54,0.509,0.702,",,,,,,,,,,,,
45756181,,33.8022707999,-118.3807665,1598.91038026,,6,,,"225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.092,0.028,0.028,0.091,",,,,,,,,,,,,
45756196,,33.7994095996,-118.381676,63.2336212522,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.727,0.728,0.728,0.728,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
45756254,,33.7994095996,-118.381676,147.203308297,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.727,0.728,0.728,0.728,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
45756349,,33.8004514003,-118.3838888,318.816652157,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.729,0.73,0.73,0.73,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
45858210,,34.0437659,-117.0581184,84.8122907713,,6,,,"310(OmniTrans),","0.795,",Open Access,Yucaipa Regional Park,http://cms.sbcounty.gov/parks/Parks/YucaipaRegionalPark.aspx,10147,318,"San Bernardino, County of",County,County Agency,http://cms.sbcounty.gov/parks/Home.aspx,County,414.227,Yucaipa RP
45895448,,33.8018934003,-118.3791833,551.386580313,,6,,,"225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.214,0.214,0.214,0.213,",,,,,,,,,,,,
45895470,,33.8024267,-118.378326,48.5431613433,,6,,,"225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.227,0.291,0.291,0.29,",,,,,,,,,,,,
46505793,,33.7974583001,-118.4008531,924.905636384,,6,,,"226(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.652,0.652,0.761,",,,,,,,,,,,,
46505870,,33.7971220004,-118.4008126,29.5863993627,,6,,,"226(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.614,0.614,0.723,",,,,,,,,,,,,
46505889,,33.7973880999,-118.4008356,8.28016513199,,6,,,"226(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.644,0.644,0.753,",,,,,,,,,,,,
46506052,,33.7839542997,-118.4193469,1357.35488846,,6,,,"Blue(Palos Verdes Peninsula Transit Authority),Silver(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),Blue(Palos Verdes Peninsula Transit Authority),Orange(Palos Verdes Peninsula Transit Authority),Silver(Palos V","0.514,0.514,0.514,0.552,0.552,0.552,0.552,0.373,",,,,,,,,,,,,
46506135,,33.7736545001,-118.4232653,990.088701557,,6,,,"Orange(Palos Verdes Peninsula Transit Authority),Silver(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),Blue(Palos Verdes Peninsula Transit Authority),","0.527,0.527,0.527,0.714,",,,,,,,,,,,,
46893596,,33.7274848,-118.3297006,673.740690127,,6,,,"Gold(Palos Verdes Peninsula Transit Authority),Gold(Palos Verdes Peninsula Transit Authority),","0.453,0.456,",,,,,,,,,,,,
46893743,,33.7264353001,-118.3305154,1284.58543763,,6,,,"Gold(Palos Verdes Peninsula Transit Authority),Gold(Palos Verdes Peninsula Transit Authority),","0.619,0.622,",Open Access,Shoreline Park,,29692,2088,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Special District,52.169,Shoreline Park
46893935,,33.7283258999,-118.3500172,574.650711493,,6,,,"Orange(Palos Verdes Peninsula Transit Authority),","0.711,",,,,,,,,,,,,
46893956,,33.7245137997,-118.3367833,431.189476866,,6,,,"Gold(Palos Verdes Peninsula Transit Authority),Gold(Palos Verdes Peninsula Transit Authority),","0.681,0.684,",Open Access,Ocean Trails Reserve,,29388,2088,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Special District,47.723,Ocean Trails Reserve
46907644,,33.8042118003,-118.3899342,689.680472661,,6,,,"226(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),226(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),226(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsu","0.135,0.135,0.152,0.152,0.778,0.778,",Open Access,Palos Verdes Estates City Parkland,,8389,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,411.178,Palos Verdes Estates City Parkland
46907648,,33.8000913999,-118.3838474,143.357224614,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.763,0.764,0.764,0.764,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
46907663,,33.8000892002,-118.3822343,318.835015166,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.632,0.633,0.633,0.633,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
46907665,,33.7992667998,-118.3791535,43.4858825495,,6,,,"225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.75,0.75,0.75,0.749,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
46907667,,33.8005506,-118.3806341,66.0563465047,,6,,,"225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.507,0.507,0.507,0.506,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
46907674,,33.7996578997,-118.3819581,36.0244225214,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.687,0.688,0.688,0.688,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
46907709,,33.8014419001,-118.3702414,841.181666178,,6,,,"225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.063,0.095,0.462,0.462,",,,,,,,,,,,,
46908145,,33.7976334997,-118.3660922,63.8909870386,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.175,0.176,0.176,0.273,0.273,",,,,,,,,,,,,
46908229,,33.7890347003,-118.3977451,64.0618663343,,6,,,"Silver(Palos Verdes Peninsula Transit Authority),Silver(Palos Verdes Peninsula Transit Authority),","0.753,0.64,",,,,,,,,,,,,
46908237,,33.7878137996,-118.3960809,882.72496162,,6,,,"Silver(Palos Verdes Peninsula Transit Authority),Silver(Palos Verdes Peninsula Transit Authority),Silver(Palos Verdes Peninsula Transit Authority),","0.462,0.427,0.498,",,,,,,,,,,,,
46908270,,33.7673538003,-118.3939462,268.145094315,,6,,,"Blue(Palos Verdes Peninsula Transit Authority),Commuter Express 448(Los Angeles Department of Transportation),344(Los Angeles County Metropolitan Transportation Authority),","0.308,0.36,0.365,",Open Access,Fred Hesse Jr. Community Park,,19075,1265,"Rancho Palos Verdes, City of",City,City Agency,http://palosverdes.com/rpv/recreationparks/index.cfm,City,28.716,Fred Hesse Jr. Community Park
47343167,,34.0272751,-118.3787849,37.2941380833,,6,,,"Commuter Express 437(Los Angeles Department of Transportation),1(Culver CityBus),1(Culver CityBus),","0.53,0.565,0.563,",,,,,,,,,,,,
47345334,,33.8019282004,-118.3859324,91.1685089857,,6,,,"226(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.374,0.374,",,,,,,,,,,,,
47345337,,33.8021420997,-118.386796,88.991760439,,6,,,"226(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.341,0.341,",,,,,,,,,,,,
47345436,,33.7975767003,-118.3659317,492.195477555,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.178,0.179,0.179,0.235,0.235,",,,,,,,,,,,,
47345481,,33.8014419001,-118.3702414,626.777910525,,6,,,"225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.063,0.095,0.462,0.462,",,,,,,,,,,,,
47884702,,33.7998841997,-118.3816185,54.0743835208,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.693,0.694,0.694,0.694,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
47888208,,33.7978040004,-118.3667398,247.808084907,,6,,,"225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.279,0.337,0.337,0.239,",Open Access,Palos Verdes Estates City Parkland,,8389,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,411.178,Palos Verdes Estates City Parkland
48035869,,34.2016822998,-118.1647579,47.9975131858,,6,,,"267/264(Los Angeles County Metropolitan Transportation Authority),","0.802,",Open Access,Hahamongna Watershed Park,http://cityofpasadena.net/PublicWorks/hahamongna/,8427,1246,"Pasadena, City of",City,City Agency,http://cityofpasadena.net/PublicWorks/Parks_Natural_Resources_Division/,City,303.407,Hahamongna Watershed Park
48036179,,34.1851893999,-118.1737177,1163.30671101,,6,,,"268(Los Angeles County Metropolitan Transportation Authority),52(Pasadena Transit),52(Pasadena Transit),","0.754,0.755,0.797,",Open Access,Hahamongna Watershed Park,http://cityofpasadena.net/PublicWorks/hahamongna/,8427,1246,"Pasadena, City of",City,City Agency,http://cityofpasadena.net/PublicWorks/Parks_Natural_Resources_Division/,City,303.407,Hahamongna Watershed Park
48329817,,33.8004885999,-118.38236,756.279445428,,6,,,"White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.58,0.581,0.581,0.581,",Restricted Access,Palos Verdes Golf Club and City Parkland,,23372,1244,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,City,211.361,Palos Verdes Golf Club and City Parkland
48329865,,33.7933212999,-118.4042675,51.2994857442,,6,,,"226(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),White(Palos Verdes Peninsula Transit Authority),","0.037,0.037,0.143,",,,,,,,,,,,,
49238830,Quarry Trail,33.7381152003,-118.3477845,520.312655492,,6,,,"Orange(Palos Verdes Peninsula Transit Authority),Orange(Palos Verdes Peninsula Transit Authority),","0.743,0.618,",,,,,,,,,,,,
49239957,,33.7583633003,-118.3798755,1180.02838304,,6,,,"225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),225(Palos Verdes Peninsula Transit Authority),","0.103,0.122,0.335,",,,,,,,,,,,,
49240015,Three Sisters Trail,33.7508438996,-118.3854105,572.407396028,,6,,,"344(Los Angeles County Metropolitan Transportation Authority),Gold(Palos Verdes Peninsula Transit Authority),Orange(Palos Verdes Peninsula Transit Authority),","0.755,0.79,0.79,",Open Access,Three Sisters Preserve,,29514,2088,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Special District,98.373,Three Sisters Preserve
49240098,am,33.7474372003,-118.3846204,511.094680724,,6,,,"344(Los Angeles County Metropolitan Transportation Authority),Orange(Palos Verdes Peninsula Transit Authority),Gold(Palos Verdes Peninsula Transit Authority),Orange(Palos Verdes Peninsula Transit Authority),","0.636,0.654,0.358,0.358,",Open Access,Three Sisters Preserve,,29514,2088,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Special District,98.373,Three Sisters Preserve
49417581,,33.7849967002,-118.2882958,646.146853609,,6,,,"205(Los Angeles County Metropolitan Transportation Authority),","0.47,",,,,,,,,,,,,
